modelo,id,content_preview,titulo_actual,parrafo_actual,titulo_nuevo,parrafo_nuevo,motivo
TrueFalse,cmn3wguuf0048310z0epeaz6d,,LIV_T23,,L17336_T1,L17336_T1_P5,Trata sobre el ejercicio del derecho patrimonial de reproducción y comunicación pública de obras literarias.
TrueFalse,cmn3wguqs0046310z1w21wnym,,LIV_T25,LIV_T25_P1,L17336_T1,L17336_T1_P5,Se refiere al derecho patrimonial del autor sobre la reproducción y distribución de obras literarias.
TrueFalse,cmn3wgusl0047310z3we2mp0b,,LIV_T1,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y musical, elementos centrales de la naturaleza y objeto de protección de la ley."
TrueFalse,cmn3wguad003x310z11hs588v,,LIV_T35,,L17336_T4,,"PARSE_ERROR: No veo contenido en tu mensaje. Por favor, proporciona el ejercicio o caso que n"
Definicion,cmn3wcbto000dza0zn8jfekmh,"[definicion] Excepción al derecho de autor (art. 71B Ley 17.336): citar fragmentos breves sin autorización del autor, con fines de crítica, ilustración, enseñanza o investigación, indicando fuente y n",LI_T1,,L17336_T3,,"Excepciones al derecho de autor: cita de fragmentos breves (art. 71B) es una excepción explícita al derecho patrimonial para fines de crítica, enseñanza e investigación."
TrueFalse,cmn3wgul90043310z3z8tgzod,,LIV_T2,LIV_T2_P1,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, estableciendo la naturaleza y objeto de la protección del derecho de autor."
TrueFalse,cmn3wgufu0040310zg73t18cj,,LIII_T5,LIII_T5_P3,L17336_T1,L17336_T1_P5,"Se trata del derecho patrimonial del autor respecto a la explotación económica de la obra, específicamente sobre reproducción y comunicación pública."
Definicion,cmn3wcbef0005za0zq9c5czls,[definicion] Conjunto de derechos que protegen la expresión concreta de las ideas (no las ideas mismas). Ley 17.336. Protección automática desde la creación. Derechos morales (irrenunciables) + patrim,LIV_T1,,L17336_T1,L17336_T1_P1,"Define qué protege la ley (expresión de ideas, obras), naturaleza de la protección y duración de derechos morales y patrimoniales."
Definicion,cmn3wcbkq0008za0zhoppzyfo,[definicion] Estado de una obra cuyos derechos patrimoniales han expirado (vida + 70 años). Uso libre por cualquier persona. Los derechos morales (paternidad) subsisten. Las leyes y sentencias son dom,LII_T3,,L17336_T1,L17336_T1_P3,"Trata sobre duración de la protección y expiración de derechos patrimoniales (vida + 70 años), pasando a dominio público."
Definicion,cmn3wcc6k000kza0z1hoqgark,[definicion] Departamento de Derechos Intelectuales del Ministerio de Educación. Registro facultativo de obras. No es constitutivo de derechos (la protección es automática). Sirve como medio de prueba,LIV_T21,,L17336_T4,,Registro facultativo y Departamento de Derechos Intelectuales son disposiciones administrativas y de registro de la ley.
Definicion,cmn3wcbh30006za0ztdce0md6,"[definicion] Derechos del autor irrenunciables, inalienables e imprescriptibles (art. 14 Ley 17.336): paternidad, integridad, inédito, modificación, retracto. No se transfieren bajo ninguna circunstan",LIV_T3,,L17336_T1,L17336_T1_P4,"Define derechos morales del autor (paternidad, integridad, retracto) que son irrenunciables e imprescriptibles según Art. 14–16 de la Ley."
Definicion,cmn3wcboa000aza0z7zphsxol,"[definicion] Obra nueva basada en obra preexistente: traducción, adaptación, resumen, arreglo, comentario. Requiere autorización del titular original (art. 5 N°2 Ley 17.336). Sin autorización = infrac",LIV_T3,,L17336_T1,L17336_T1_P1,"Define obra derivada (traducción, adaptación, etc.) y su régimen de protección conforme art. 5 N°2, materia de naturaleza y objeto de la protección."
FillBlank,cmn3wcdj0001aza0zis3eu8b2,,LIV_T1,,L17336_T1,L17336_T1_P5,Trata sobre el derecho patrimonial del autor para autorizar o prohibir la reproducción de su obra en cualquier forma o procedimiento.
Definicion,cmn3wcbmi0009za0zt5l0e8b3,"[definicion] Reproducción total o parcial de la expresión concreta de una obra ajena presentándola como propia. Infracción a la Ley 17.336, art. 79: sanción penal (presidio menor grado mínimo + multa)",LIV_T35,,L17336_T5,,"El plagio es una contravención sancionada penalmente en el art. 79 de la Ley 17.336, por lo que corresponde al Título V sobre Contravenciones y Sanciones."
FillBlank,cmn3wcddp0017za0z4uto7uh7,,LIV_T20,,L17336_T1,L17336_T1_P1,"Trata sobre la naturaleza y objeto de la protección, definiciones de obras literarias y artísticas."
FillBlank,cmn3wcdmg001cza0zc7qysj1n,,LIV_T21,,L17336_T1,L17336_T1_P5,La comunicación pública de una obra cinematográfica es un derecho patrimonial del autor regulado en Arts. 17–47.
FillBlank,cmn3wcd6a0013za0zldocta52,,TP_MAIN,TP_1,L17336_T1,L17336_T1_P5,"La comunicación pública de una obra (transmisión por radio, televisión o internet) es un derecho patrimonial del autor regulado en los Arts. 17-47 del T.I §V."
ErrorIdentification,cmn3wgos2000y310zr1x2tjm9,,LIV_T3,,L17336_T1,L17336_T1_P5,"El contenido trata sobre el derecho patrimonial del autor, específicamente sobre la reproducción y distribución de obras protegidas por derecho de autor."
ErrorIdentification,cmn3wgooa000w310zmvb34fzb,,TP_MAIN,TP_1,L17336_T1,L17336_T1_P5,"El contenido trata sobre el derecho patrimonial de autor, específicamente sobre los derechos económicos de explotación de obras protegidas."
ErrorIdentification,cmn3wgoxk0011310z7h6sk91p,,LIV_T3,,L17336_T1,L17336_T1_P5,"La reproducción de una obra en cualquier forma o procedimiento constituye un acto de ejercicio del derecho patrimonial del autor, regulado en el artículo 17 y siguientes de la Ley 17.336."
MatchColumns,cmn3wcdy4001iza0zc6kzuwh1,[titulo] Protección vs. no protección en propiedad intelectual,LII_T1,,L17336_T1,L17336_T1_P1,Trata sobre qué obras y contenidos están protegidos o excluidos de protección según la naturaleza y objeto de la Ley 17.336.
OrderSequence,cmn3wgtf1003g310zrd1nl0nj,[titulo] Derechos del autor: morales vs. patrimoniales,TITULO_II,,L17336_T1,L17336_T1_P4,"El ejercicio compara derechos morales y patrimoniales; aunque ambos se tratan en T.I, la mención de 'derechos morales' como tema central justifica asignar a §IV (Arts. 14–16), siendo el derecho moral el aspecto distintivo y específico."
MatchColumns,cmn3wgrm3002h310zqgfuwuj7,[titulo] Derechos morales vs. patrimoniales,LIV_T3,,L17336_T1,L17336_T1_P4,"El ejercicio aborda derechos morales, cuya regulación corresponde al §IV (Arts. 14–16) del Título I; aunque también toca derechos patrimoniales, la distinción conceptual fundamental entre ambas categorías se estructura primariamente en el derecho moral."
CasoPractico,cmn5gleyn000u420z71qtaydn,[titulo] Uso de apuntes de profesor para contenido comercial [hechos] Un estudiante quiere crear flashcards de Derecho Civil para vender en una plataforma educativa. Usa los apuntes del Prof. Orrego (,De los derechos patrimoniales,,L17336_T1,L17336_T1_P5,"Conflicto de derecho patrimonial: reproducción y transformación de obra ajena (apuntes del Prof. Orrego) con fines comerciales, sin autorización del titular."
DictadoJuridico,cmn3wcclz000sza0zrut5eflb,"[titulo] Principio: idea vs. expresión [textoCompleto] En derecho de autor, lo que se protege es la expresión concreta de las ideas, no las ideas ni los conceptos. Mientras se genere contenido propio ",LIV_T13,,L17336_T1,L17336_T1_P1,"Define qué se protege en derecho de autor (expresión concreta, no ideas) y establece el objeto de la protección conforme Arts. 1–7."
DictadoJuridico,cmn3wccnq000tza0zzl7o8adb,"[titulo] Principio: disponibilidad gratuita [textoCompleto] Disponible en internet gratis no es igual a libre para uso comercial. Usar textos ajenos para generar contenido comercial, aunque se use int",LIV_T23,,L17336_T1,L17336_T1_P5,"Trata sobre derechos patrimoniales (reproducción, transformación, derivación) y limitaciones al uso comercial de obras protegidas sin autorización del titular."
DictadoJuridico,cmn3wcci8000qza0zn9ligbnh,"[titulo] Art. 71B Ley 17.336 — Derecho de cita [textoCompleto] Es lícito, sin remunerar ni obtener autorización del autor, reproducir en obras de carácter cultural, científico o didáctico, fragmentos ",LIV_T3,,L17336_T3,,"Art. 71B trata del derecho de cita, una excepción al derecho de autor expresamente regulada en el Título III (Excepciones al Derecho de Autor, Arts. 71A–71S)."
Timeline,cmn3wcelj001uza0z10de2myq,[titulo] Notice and takedown: flujo completo de respuesta,LIV_T23,,L17336_T3,,Notice and takedown es un mecanismo de excepción y limitación al derecho de autor para gestión de contenido infractor en plataformas digitales.
Timeline,cmn3wcehz001sza0zf9wquzyg,[titulo] Vida de los derechos de autor,TP_1,,L17336_T1,L17336_T1_P3,Duración de la protección y plazos de vigencia de los derechos de autor (Arts. 10–12).
TrueFalse,cmn3wguw80049310zpll70e72,,LIII_T5,LIII_T5_P3,L17336_T1,L17336_T1_P5,"Se trata del derecho patrimonial del autor de explotar su obra, incluyendo reproducción y comunicación pública, regulado en Arts. 17–47."
Definicion,cmn3wcbq2000bza0zq4waqgbv,"[definicion] Autorización del titular para que un tercero use la obra bajo condiciones específicas. Exclusiva o no exclusiva. Gratuita o remunerada. Limitada en tiempo, territorio y alcance. No transf",LII_T10,,L17336_T1,L17336_T1_P5,"Licencia es ejercicio del derecho patrimonial del autor (autorización de uso, reproducción, comunicación pública) bajo condiciones específicas, regulado en Arts. 17–47 sobre derechos patrimoniales y sus limitaciones."
Definicion,cmn3wcc14000hza0zrxrks3wa,"[definicion] Tratado internacional (1886) sobre protección de obras literarias y artísticas. Chile es miembro. Principios: protección automática sin registro, trato nacional, derechos morales mínimos,",LIII_T1,,L17336_T1,L17336_T1_P1,"Define protección automática, naturaleza de derechos de autor y duración mínima conforme a estándares internacionales incorporados en la ley."
Definicion,cmn3wcc8c000lza0z710uq2vg,"[definicion] Excepción al derecho de autor (art. 71A Ley 17.336): reproducción de un solo ejemplar para uso personal, sin fin lucrativo, por quien adquirió legítimamente la obra. No autoriza distribuc",LIII_T5,LIII_T5_P3,L17336_T3,,"El contenido define una excepción al derecho de autor (art. 71A), correspondiente al Título III sobre excepciones al derecho de autor."
Definicion,cmn3wccav000mza0z737lkbjm,[definicion] Excepción al derecho de autor (art. 71P Ley 17.336): uso transformativo con fines humorísticos o críticos que no requiere autorización del autor original. Reconocida como forma legítima d,LIII_T5,LIII_T5_P3,L17336_T3,,"Excepción al derecho de autor (art. 71P): uso transformativo con fines humorísticos o críticos, expresamente regulado en Título III De las Excepciones al Derecho de Autor."
Definicion,cmn3wcbve000eza0zk7vk9z3k,"[definicion] Mecanismo de remoción de contenido infractor en 48-72 horas tras notificación del titular de derechos. Estándar internacional para plataformas intermediarias (safe harbor). Sin él, riesgo",LIV_T23,,L17336_T3,,"Mecanismo de notice-and-takedown (notificación y remoción) es excepción/limitación al derecho de autor que regula responsabilidad de intermediarios, materia del Título III (Arts. 71A–71S)."
Definicion,cmn3wcbiu0007za0z3zxbhg11,"[definicion] Derechos del autor transferibles y temporales: reproducción, distribución, comunicación pública, transformación, puesta a disposición digital. Duran vida + 70 años (art. 11). Pueden ceder",LIV_T25,,L17336_T1,L17336_T1_P5,"Trata derechos patrimoniales (reproducción, distribución, comunicación pública, transformación) y su ejercicio mediante cesión/licencia, materia del §V arts. 17–47."
FillBlank,cmn3wcda60015za0z1z4qipew,,LI_T1,,L17336_T4,,"PARSE_ERROR: No puedo asignar el ejercicio porque el contenido no fue proporcionado.   Por fa"
Definicion,cmn3wcbrt000cza0z9ioocj5a,[definicion] Transferencia total o parcial de los derechos patrimoniales. Debe constar por ESCRITO (art. 73 Ley 17.336). Puede ser gratuita u onerosa. Los derechos morales nunca se ceden. El cesionari,LIV_T25,,L17336_T1,L17336_T1_P5,Trata sobre ejercicio de derechos patrimoniales (cesión/transferencia) y sus limitaciones formales.
FillBlank,cmn3wcd8f0014za0zwdjxf9ho,,LII_T2,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, estableciendo la naturaleza y objeto de la protección de la Ley 17.336."
FillBlank,cmn3wcdff0018za0zhuy4mbt2,,LII_T2,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, elementos constitutivos de la protección por derecho de autor."
FillBlank,cmn3wcdkq001bza0zo9v54svm,,LIV_T25,LIV_T25_P1,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor de reproducir, comunicar públicamente y distribuir la obra (derechos económicos)."
FillBlank,cmn3wcdh90019za0z40xkp5le,,LIV_T35,,L17336_T1,L17336_T1_P5,Se refiere al derecho patrimonial de reproducción y comunicación pública de obras protegidas por derechos de autor.
FillBlank,cmn3wcdpz001eza0zh6gopca1,,LIV_T35,,L17336_T4,,PARSE_ERROR: No puedo clasificar el ejercicio porque el contenido que debería analizar no apa
ErrorIdentification,cmn3wgovp0010310zqiniaa5t,,LIV_T25,LIV_T25_P3,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece su naturaleza como objeto protegible por la ley de propiedad intelectual.
ErrorIdentification,cmn3wgotw000z310zr3jlwq7u,,LIV_T25,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, objeto de protección de la ley (Arts. 1–7)."
ErrorIdentification,cmn3wgomh000v310z6pf1jws9,,LIV_T42,,L17336_T4,,"PARSE_ERROR: No veo contenido en el ejercicio que me proporcionaste. El campo ""Contenido del "
OrderSequence,cmn3wceeh001qza0zukm2wjrw,[titulo] Notice and takedown: flujo de respuesta,LI_T32,,L17336_T3,,Notice and takedown es un mecanismo de excepción y limitación al derecho de autor regulado en el Título III (Arts. 71A–71S).
OrderSequence,cmn3wceb1001oza0zfq0dh07i,[titulo] Opciones ante contenido basado en obra ajena,LIV_T3,,L17336_T3,,"Excepciones al derecho de autor que regulan el uso de obras ajenas, incluyendo límites y opciones permitidas por la ley."
OrderSequence,cmn3wceg8001rza0z652yd23u,[titulo] Excepciones al derecho de autor en la Ley 17.336,TITULO_III,,L17336_T3,,"El contenido trata sobre excepciones al derecho de autor, que corresponden al Título III (Arts. 71A–71S) de la Ley 17.336."
MatchColumns,cmn3wce4v001lza0zg47xfsau,[titulo] Licencia vs. cesión de derechos,LIV_T25,,L17336_T1,L17336_T1_P5,"La licencia y cesión de derechos son modalidades de ejercicio y disposición del derecho patrimonial del autor, reguladas en el §V sobre Derecho patrimonial, ejercicio y limitaciones."
MatchColumns,cmn3wce34001kza0z61a9lbf3,[titulo] Excepciones al derecho de autor,LIV_T3,,L17336_T3,,Excepciones al derecho de autor corresponden al Título III (Arts. 71A–71S) que regula específicamente las limitaciones y excepciones al derecho patrimonial.
CasoPractico,cmn5gmco0000x5m0z9q7kynup,[titulo] Derecho de cita vs. obra derivada [hechos] Un estudiante escribe un ensayo para El Diario sobre prescripción adquisitiva. En su ensayo: (a) cita un párrafo de 3 líneas del tratado del Prof. A,LIV_T42,LIV_T42_P2,L17336_T3,,"El ejercicio trata sobre excepciones al derecho de autor (cita lícita vs. reproducción no autorizada vs. paráfrasis), materia regulada en el Título III (Arts. 71A–71S)."
DictadoJuridico,cmn3wccgj000pza0z1a1wqd92,"[titulo] Art. 14 N°1 Ley 17.336 — Derecho de paternidad [textoCompleto] El autor, como titular de derechos morales, tiene de por vida el derecho de reivindicar la paternidad de su obra, asociando a la",LI_T7,,L17336_T1,L17336_T1_P4,Derecho moral de paternidad: reivindicación de la autoría y asociación del nombre del autor a la obra (Art. 14 N°1).
DictadoJuridico,cmn3wgo7r000n310znguhed0e,"[titulo] Art. 1 Ley 17.336 — Objeto de protección [textoCompleto] La presente ley protege los derechos que, por el solo hecho de la creación de la obra, adquieren los autores de obras de la inteligenc",LIII_T1,,L17336_T1,L17336_T1_P1,"Art. 1 define el objeto de protección y qué obras están protegidas por la ley, elemento central de la Naturaleza y objeto de la protección."
DictadoJuridico,cmn3wccjz000rza0zprj8xpdx,[titulo] Art. 73 Ley 17.336 — Cesión de derechos [textoCompleto] La cesión del derecho de autor deberá hacerse por instrumento público o privado autorizado ante notario. La cesión total o parcial del ,LIV_T25,,L17336_T4,,"Art. 73 regula formalidades y requisitos de registro para la cesión de derechos de autor, materia propia de Disposiciones Generales y Registro (T.IV)."
DictadoJuridico,cmn3wgo9m000o310zm3h7xsmg,"[titulo] Art. 11 Ley 17.336 — Duración de los derechos patrimoniales [textoCompleto] La protección otorgada por la presente ley dura por toda la vida del autor y se extiende hasta por 70 años más, con",LIII_T1,,L17336_T1,L17336_T1_P3,"Art. 11 trata sobre la duración de la protección (vida del autor + 70 años post mortem), materia propia del §III Duración de la protección (Arts. 10–12)."
Timeline,cmn3wcep0001wza0zzm64yqv3,[titulo] Evolución histórica del derecho de autor,MENSAJE_BELLO,,L17336_T1,L17336_T1_P1,"La evolución histórica del derecho de autor corresponde a naturaleza, objeto de protección y definiciones fundamentales de la ley."
