model,id,own_rama,target_rama,aplica,confidence,razon,source
flashcard,cmnnwzjc705i2540zrlhbeqr0,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda instituciones del COT que son esenciales para el CPC.,openai
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Jurisdicción, competencia absoluta/relativa, implicancia y recusación son instituciones sustanciales del COT. El análisis previo a demanda es aplicación práctica de normas orgánicas.",haiku_pass2
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Integración es institución de COT (arts. 196-198). Define estructura y funcionamiento de tribunales colegiados. CPC solo aplica procedimentalmente estos principios.,haiku_pass2
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Territorialidad, exhortos, competencia nacional y prórroga son institutos fundamentales del COT. El ejercicio trata estructura orgánica y competencia territorial de tribunales, materia sustancial del ",haiku_pass2
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio estructura la organización judicial chilena (tribunales ordinarios, especiales, arbitrales, auxiliares, implicancias, recusaciones). Estos temas son sustancia del COT, no solo del CPC.",haiku_pass2
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los temas sustantivos (alimentos, filiación, patria potestad, separación, divorcio, bienes familiares) son regulados por CC. COT solo define competencia; CC define derechos y obligaciones.",haiku_pass2
flashcard,cmnnwzjfx05i4540z81bx6z8q,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio menciona reglas del COT que son relevantes en el proceso civil.,openai
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Ejercicio sobre procedimiento y excepciones procesales (arts. 234 y 464 CPC). No trata sustancialmente temas de CC; solo menciona conceptos civiles (pago, compensación) como contenido de excepciones, ",haiku_pass3
flashcard,cmn3wjx1p01q9310z2frlxk9j,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las excepciones mencionadas también son relevantes en el ámbito del Derecho Civil.,openai
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Ejercicio sobre procedimiento de cumplimiento incidental (CPC art. 234). Aunque toca excepciones sustantivas (pago, prescripción), el núcleo es procesal: régimen de defensas en ejecución de sentencia.",haiku_pass3
mcq,cmnnwylpp0502540zhknebv42,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre diligencias del juicio ejecutivo, relevante en ambas ramas.",openai
definicion,cmno43tzo008ros0zgi1z8e9m,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones del art. 234 CPC se fundan en instituciones civiles sustantivas (pago, remisión, novación, compensación, transacción). Su comprensión requiere conocimiento del CC.",haiku_pass3
flashcard,cmno43uaq008xos0zj93z9b8u,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones del art. 234 CPC (pago, remisión, novación, compensación, transacción) son instituciones sustantivas del CC que regulan extinción de obligaciones. El CPC solo regula su procedimiento.",haiku_pass3
flashcard,cmnnwyr42052w540z9iw2ahkd,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La compraventa de inmuebles es un tema del CC y su proceso en el CPC es relevante.,openai
flashcard,cmn3who2a00je310zg8iea9l4,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre nulidad procesal, que es un tema del CPC.",openai
flashcard,cmnnwxu7d04l9540zolloq16g,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La inhabilitación y recusación se regulan en el COT y son relevantes en el CPC.,openai
flashcard,cmnnwuri102y6540z6bevrp85,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones mencionadas son relevantes en ambas ramas, afectan obligaciones en CC y CPC.",openai
flashcard,cmnnwvugv03j3540zyij6sn72,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La posesión efectiva y sus inscripciones son temas del CC y CPC.,openai
flashcard,cmnnwykvd04zm540zkt2hrr48,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Los receptores son esenciales para las notificaciones en el CPC, conectando ambas ramas.",openai
flashcard,cmnnwyp4b051t540zm628a6x7,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La compraventa de inmuebles es un tema relevante en ambas ramas.,openai
flashcard,cmnnwtgci029s540zzq01dt42,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192), que establece competencia de Cortes para resolver conflictos entre tribunales. CPC solo remite a COT.",haiku_pass2
mcq,cmnnwus7n02yk540zn7qflqcs,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las excepciones limitadas son conceptos del Derecho Civil aplicables en el proceso civil.,openai
mcq,cmn3wjxx701qq310zej6fxo01,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"La acción reivindicatoria es un tema del CC y CPC, ya que trata sobre derechos reales.",openai
mcq,cmnnwtgwq02a3540z01u8hw34,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución sustancial del COT (arts. 191-192). El ejercicio trata competencia jurisdiccional y su resolución, temas centrales de COT, no solo procedimiento.",haiku_pass2
mcq,cmnnwylm20500540zvru9fwek,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La tradición y la inscripción son conceptos clave en ambos códigos.,openai
definicion,cmnnwtfhg029b540znhexuoqk,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192), que establece procedimiento, tribunales competentes y resolución. CPC solo remite a COT.",haiku_pass2
flashcard,cmnnwsqxl01w4540zpsf6xy1z,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Los niveles de capacidad son relevantes en ambos códigos, civil y procesal.",openai
flashcard,cmnnwzfjw05g2540z8tavbr5f,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda la conexión entre CPC y COT sobre competencia y admisibilidad.,openai
flashcard,cmnnwvpj203gd540z573hh1ns,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos judiciales no contenciosos también se relacionan con el CC en temas de jurisdicción voluntaria.,openai
flashcard,cmnnwwt0z041g540z635lccar,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,El ejercicio menciona temas civiles que son relevantes en ambas ramas.,openai
flashcard,cmnnwwxav043r540zt8dkea9i,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La nulidad por incompetencia afecta tanto al COT como al CPC en juicios.,openai
flashcard,cmnnwvuim03j4540z0ceqsbtz,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La muerte presunta y posesión efectiva son temas del Derecho Civil y Procesal.,openai
flashcard,cmnnwwqla0404540zb2dwppnq,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La determinación de cuantía en asuntos sin valor pecuniario es sustancial en ambas ramas: COT regula competencia y procedimiento; CC define qué materias son insusceptibles de apreciación (estado civil,haiku_pass2
flashcard,cmnnwwcyv03sw540zauega4b1,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Las bases de la administración de justicia (territorialidad, pasividad, publicidad, etc.) son principios fundamentales del COT. El ejercicio trata sustancialmente ambas ramas.",haiku_pass2
mcq,cmn17e1uh00djy40z3xbat086,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La declinatoria es un concepto que pertenece tanto al COT como al CPC.,openai
mcq,cmno43h5k001vos0zcoof9v4d,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El patrocinio y poder son conceptos relevantes en ambos ámbitos, COT y CPC.",openai
mcq,cmnnwpm4u007u540z4vql6ftx,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,Los actos procesales mencionados son relevantes en ambas ramas.,openai
mcq,cmnnwwr5f040f540zf88n5gja,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Asuntos no susceptibles de apreciación pecuniaria (estado civil, filiación, validez testamento) son materias sustanciales del CC. La clasificación de cuantía afecta procedimiento en CPC pero los derec",haiku_pass2
mcq,cmnnxdxu900pmr30zrzl6cy0x,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El secuestro tiene relevancia en CC y CPC como medida precautoria.,openai
trueFalse,cmnnwwrnp040p540z97ssj1pv,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Estado civil, filiación y validez de testamento son instituciones sustanciales del CC. Su clasificación como mayor cuantía en COT depende de su naturaleza civil, no solo procesal.",haiku_pass2
trueFalse,cmnnwwkyz03x3540z31c84rds,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"El estado civil es materia de orden público e indisponibilidad regulada en CC arts. 1, 8, 12. La prohibición de transigir sobre estado civil es sustancia compartida entre COT y CC.",haiku_pass2
trueFalse,cmnnwyq58052d540zsh65i8wr,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,El rol del receptor en el juicio ejecutivo es relevante en CPC y COT.,openai
definicion,cmnnwx50m047y540zlqdyt8zu,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Competencia relativa en no contenciosos regula procedimientos civiles (muerte presunta, cambio nombre, inventario, sucesión) que son institutos sustantivos del CC. COT y CC se complementan.",haiku_pass2
flashcard,cmnnww1gt03mp540zbu4bdtts,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos no contenciosos mencionados son relevantes en Derecho Civil y Procesal.,openai
flashcard,cmnnwycq704v7540zd8gerw27,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El arbitraje sigue reglas del CPC, por lo que es relevante en ambas ramas.",openai
mcq,cmnnwypqj0525540zil3fnryo,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El receptor es clave en ambos, COT y CPC, en el contexto de juicios ejecutivos.",openai
mcq,cmnnwzk4u05ih540zg6dfdqxu,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La implicancia del juez se regula en el COT, por lo que aplica a ambas ramas.",openai
definicion,cmnnwykb504zb540zx63cfaiv,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El receptor judicial actúa en ambos ámbitos, notificando en procesos civiles.",openai
flashcard,cmnnwylbs04zv540zdgkle7sw,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los receptores y la tradición de inmuebles son temas comunes en CPC y CC.,openai
flashcard,cmn16pn2900t7fp0zer1civ7g,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,La interrupción de la prescripción se relaciona con la demanda judicial en CPC.,openai
flashcard,cmn1734f600a2p50zq7rc273s,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,El tema de la autorización para gravar bienes está en el CC y CPC.,openai
flashcard,cmn1734nw00a7p50zt5micssa,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos no contenciosos también tienen relevancia en el Derecho Civil.,openai
flashcard,cmn3wjwj501pz310zgy3sey87,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La acción reivindicatoria es un concepto del CC que se aplica en CPC.,openai
flashcard,cmn3wjwky01q0310zezxyhrwj,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Ambas acciones son fundamentales en el CC y CPC, discutiendo propiedad y posesión.",openai
flashcard,cmn3wkbx301y9310z7uy0fsw9,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La competencia de tribunales se regula en el COT y es esencial en el CPC.,openai
flashcard,cmnnwvrwg03ho540zm5ytly41,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"El concepto de interés jurídico es relevante en ambas ramas, especialmente en sucesiones.",openai
flashcard,cmnnwshjs01r7540zuxgn4n1q,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"La prueba de obligaciones es relevante en ambos códigos, civil y procesal.",openai
flashcard,cmnnwxtoa04kz540zy703gl9m,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La subrogación del juez se regula en el COT, por lo que aplica a ambas ramas.",openai
flashcard,cmno442d800cxos0zkbqd69zi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,El derecho de retención se regula en el CC y tiene efectos en el CPC.,openai
flashcard,cmnnwzdgq05ey540z3t6o2ob0,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda temas del COT que son fundamentales en Derecho Orgánico.,openai
flashcard,cmnnwzfar05fx540zgklwxstu,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio aborda la implicancia del juez, que es un tema del COT y afecta el CPC.",openai
flashcard,cmnnwzhoj05h7540z1ftmw9qj,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las medidas conservativas del CC son fundamentales para entender las precautorias del CPC.,openai
flashcard,cmnnww6ok03pi540zfozf9lid,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La nulidad por incompetencia territorial se relaciona con el CPC y su procedimiento.,openai
flashcard,cmnnwyl0u04zp540zyyd7hbe0,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La tradición y su inscripción son conceptos clave en ambos códigos.,openai
flashcard,cmnnwyp2d051s540z061k01ry,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,Los auxiliares mencionados son fundamentales en el CPC para el juicio ejecutivo.,openai
flashcard,cmnnwyp64051u540z9qje6s6j,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre notificaciones, que son relevantes en ambas ramas.",openai
flashcard,cmnnwwsq2041a540z2u3aagdb,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La determinación de competencia por naturaleza de la pretensión es regla fundamental en CC (arts. 1-3, 104-112) y COT. Ambas ramas sustancialmente tratan cómo clasificar pretensiones civiles.",haiku_pass2
flashcard,cmnnwwsmc0418540zvh1yde4g,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los asuntos de familia también tienen implicancias en el Derecho Civil, como la filiación y alimentos.",openai
flashcard,cmn3whp2x00jx310zlbc6n1mo,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El incidente de nulidad y el emplazamiento son temas de ambas ramas.,openai
flashcard,cmn3wkc6701ye310zuy37m3cr,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,Ambas nulidades son interdependientes en el contexto de un proceso judicial.,openai
flashcard,cmnnwvq1503gn540zao0wjyyl,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos no contenciosos son relevantes en Derecho Civil al afectar sucesiones y particiones.,openai
flashcard,cmnnwyl9z04zu540zq3pn3i8z,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Los receptores son clave en el juicio ejecutivo, que es parte del CPC.",openai
flashcard,cmnnwyz8c0579540zhfz81nzh,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,El tema de la nulidad de notificaciones es relevante en ambas ramas.,openai
flashcard,cmnnwz0v30585540zulech3pu,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Las inhabilidades afectan directamente el procedimiento civil, conectando ambas ramas.",openai
flashcard,cmn3wkn0l0246310z6fm7smgw,DERECHO_CIVIL,DERECHO_ORGANICO,true,high,La prórroga de competencia es un tema que se regula en el COT y afecta el Derecho Civil.,openai
flashcard,cmnnwyiuw04yj540z5omzbx7o,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La escritura pública es relevante en ambos códigos, especialmente en actos civiles.",openai
flashcard,cmnnwtidv02aw540z0l8g66wi,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La subrogación de jueces está regulada en ambos cuerpos normativos.,openai
mcq,cmn172y8i007up50zen82gu07,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Interdictos posesorios son institución dual: regulados en CPC (procedimiento) pero sustancialmente en CC (arts. 916-922). Requiere conocimiento de ambas ramas.,haiku_pass3
mcq,cmn174uie00yrp50zl20xx33k,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Competencia de la Corte Suprema es materia sustancial de COT. Art. 767 CPC remite a estructura orgánica y competencia definida en COT.,haiku_pass2
mcq,cmn17dmry007hy40zfiv7mo5p,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,false,high,"Ejercicio específico sobre recursos contra sentencias del TOP (Tribunal Oral en lo Penal). Regulación sustancial en CPP arts. 372-387. CPC tiene régimen distinto de recursos (apelación, casación). Sin",haiku_pass3
mcq,cmn3wjsuz01o0310zxexljklx,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Casación en el fondo es competencia exclusiva de CS (art. 767 CPC), pero su regulación orgánica y competencia están en COT arts. 82-83. Ambas ramas sustancialmente.",haiku_pass2
