model,id,own_rama,target_rama,aplica,confidence,razon
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Ejercicio sobre procedimiento y excepciones procesales (arts. 234 y 464 CPC). No trata sustancialmente temas de CC; solo menciona conceptos civiles (pago, compensación) como contenido de excepciones, "
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Ejercicio sobre procedimiento de cumplimiento incidental (CPC art. 234). Aunque toca excepciones sustantivas (pago, prescripción), el núcleo es procesal: régimen de defensas en ejecución de sentencia."
definicion,cmno43tzo008ros0zgi1z8e9m,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones del art. 234 CPC se fundan en instituciones civiles sustantivas (pago, remisión, novación, compensación, transacción). Su comprensión requiere conocimiento del CC."
flashcard,cmno43uaq008xos0zj93z9b8u,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones del art. 234 CPC (pago, remisión, novación, compensación, transacción) son instituciones sustantivas del CC que regulan extinción de obligaciones. El CPC solo regula su procedimiento."
mcq,cmn172y8i007up50zen82gu07,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Interdictos posesorios son institución dual: regulados en CPC (procedimiento) pero sustancialmente en CC (arts. 916-922). Requiere conocimiento de ambas ramas.
mcq,cmn17dmry007hy40zfiv7mo5p,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,false,high,"Ejercicio específico sobre recursos contra sentencias del TOP (Tribunal Oral en lo Penal). Regulación sustancial en CPP arts. 372-387. CPC tiene régimen distinto de recursos (apelación, casación). Sin"
flashcard,cmn172vq6006rp50z0fkrt7jl,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"El ejercicio trata exclusivamente procedimiento sumario (CPC art. 680). CC no regula tramitación procesal, solo sustancia de contratos y derechos."
flashcard,cmn172qct004fp50zmlp8dt52,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Las tercerías de prelación y pago son institutos procesales puros (tramitación, plazos, procedimiento). El CC solo define derechos sustantivos de acreedores; la regulación procesal es exclusiva del CP"
flashcard,cmn172wqf0075p50zckc5l4gt,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Interdictos posesorios son acciones reales civiles (CC arts. 916-928) cuya tramitación procesal se regula en CPC. Ambas ramas son sustanciales.
mcq,cmn1741lb00n5p50zc1bsl7wh,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,Ejercicio sobre procedimiento y abandono (institución procesal pura del CPC). No trata sustancia civil; solo menciona CPC. Clasificación correcta en CPC.
mcq,cmn3wkiz3021z310zg0f2m7iq,DERECHO_CIVIL,DERECHO_ORGANICO,false,high,"Subrogación legal es institución sustantiva del CC. COT no regula subrogación. Solo menciona COT si hay proceso judicial, pero eso es accidental."
mcq,cmn172yur0083p50zkzdgahqz,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"El art. 680 inc. 2 Nº 6 CPC remite a leyes civiles que ordenan tramitación sumaria. Requiere conocer instituciones civiles (interdictos, comodato, depósito) para resolver correctamente."
mcq,cmn172rb8004vp50zc3tgzfi6,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,Las tercerías son un instituto procesal regulado exclusivamente en CPC arts. 518-529. El CC no regula tercerías; solo CPC las tipifica como mecanismo de intervención en ejecución.
trueFalse,cmn16ppue00udfp0z60j6b5lz,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"La contestación de demanda es acto procesal (CPC art. 309). El efecto sustantivo del art. 907 CC depende del momento procesal específico, haciendo inseparable ambas ramas."
trueFalse,cmn172sz8005kp50z5cwzavtr,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Las tercerías son institutos procesales puros del CPC. Aunque invocan conceptos civiles (dominio, posesión, pago), su regulación, naturaleza y función son exclusivamente procedimentales."